Date,Price
2017-06-23,2589.1648875
2017-06-24,2512.3662857142854
2017-06-25,2436.4510571428573
2017-06-26,2517.9031142857143
2017-06-27,2585.349185714286
2017-06-28,2544.414475
2017-06-29,2477.641375
2017-06-30,2434.0778625
2017-07-01,2501.191342857143
2017-07-02,2561.225428571429
2017-07-03,2599.7298375
2017-07-04,2619.1875030042856
2017-07-05,2609.96775
2017-07-06,2491.201214285714
2017-07-07,2562.1306624999997
2017-07-08,2536.2389375
2017-07-09,2366.1701428571428
2017-07-10,2369.8621285714285
2017-07-11,2385.7485714285717
2017-07-12,2354.7834166666667
2017-07-13,2190.947833333333
2017-07-14,2058.9955999999997
2017-07-15,1931.2143
2017-07-16,2176.6234875
2017-07-17,2320.12225
2017-07-18,2264.7657
2017-07-19,2898.1884166666664
2017-07-20,2682.1953625
2017-07-21,2807.609857142857
2017-07-22,2725.549716666667
2017-07-23,2751.821028571429
2017-07-24,2560.9979166666667
2017-07-25,2495.028585714286
2017-07-26,2647.625
2017-07-27,2781.636583333333
2017-07-28,2722.512785714286
2017-07-29,2745.955416666666
2017-07-30,2866.431666666667
2017-07-31,2710.4130666666665
2017-08-01,2693.6339833333336
2017-08-02,2794.117716666666
2017-08-03,2873.8510833333335
2017-08-04,3218.1150166666666
2017-08-05,3252.5625333333332
2017-08-06,3407.2268333333336
2017-08-07,3457.374333333333
2017-08-08,3357.326316666667
2017-08-09,3424.4042000000004
2017-08-10,3632.5066666666667
2017-08-11,3852.8029142857145
2017-08-12,4125.54802
2017-08-13,4282.992
2017-08-14,4217.028328571429
2017-08-15,4360.876871428572
2017-08-16,4328.725716666667
2017-08-17,4130.440066666667
2017-08-18,4222.662214285714
2017-08-19,4157.958033333333
2017-08-20,4043.722
2017-08-21,4082.180983333333
2017-08-22,4174.95
2017-08-23,4340.316716666667
2017-08-24,4363.05445
2017-08-25,4360.5133166666665
2017-08-26,4354.308333333333
2017-08-27,4391.673516666667
2017-08-28,4607.98545
2017-08-29,4594.98785
2017-08-30,4748.255
2017-08-31,4911.740016666667
2017-09-01,4580.387479999999
2017-09-02,4648.159983333334
2017-09-03,4344.0983166666665
2017-09-04,4488.72014
2017-09-05,4641.822016666666
2017-09-06,4654.6585000000005
2017-09-07,4310.750183333334
2017-09-08,4375.55952
2017-09-09,4329.955
2017-09-10,4248.090016666666
2017-09-11,4219.036616666667
2017-09-12,3961.2712666666666
2017-09-13,3319.6299999999997
2017-09-14,3774.2652833333336
2017-09-15,3763.62604
2017-09-16,3746.060783333333
2017-09-17,4093.316666666667
2017-09-18,3943.4133333333334
2017-09-19,3977.5616666666665
2017-09-20,3658.8981833333332
2017-09-21,3637.5025499999997
2017-09-22,3776.3869
2017-09-23,3703.0406500000004
2017-09-24,3942.5550000000003
2017-09-25,3910.3073833333333
2017-09-26,4202.554983333333
2017-09-27,4201.98905
2017-09-28,4193.574666666666
2017-09-29,4335.368316666667
2017-09-30,4360.722966666667
2017-10-01,4386.88375
2017-10-02,4293.3066
2017-10-03,4225.175
2017-10-04,4338.852
2017-10-05,4345.6033333333335
2017-10-06,4376.191666666667
2017-10-07,4602.280883333334
2017-10-08,4777.967816666666
2017-10-09,4782.28
2017-10-10,4819.485766666667
2017-10-11,5325.130683333333
2017-10-12,5563.806566666666
2017-10-13,5739.438733333333
2017-10-14,5647.311666666667
2017-10-15,5711.205866666667
2017-10-16,5603.71294
2017-10-17,5546.176100000001
2017-10-18,5727.6335
2017-10-19,5979.45984
2017-10-20,6020.371683333334
2017-10-21,5983.184550000001
2017-10-22,5876.079866666667
2017-10-23,5505.827766666666
2017-10-24,5669.622533333334
2017-10-25,5893.138416666666
2017-10-26,5772.504983333333
2017-10-27,5776.6969500000005
2017-10-28,6155.43402
2017-10-29,6105.87422
2017-10-30,6388.645166666666
2017-10-31,6665.306683333333
2017-11-01,7068.020100000001
2017-11-02,7197.72006
2017-11-03,7437.543316666666
2017-11-04,7377.012366666667
2017-11-05,6989.071666666667
2017-11-06,7092.127233333333
2017-11-07,7415.878250000001
2017-11-08,7158.03706
2017-11-09,6719.39785
2017-11-10,6362.851033333333
2017-11-11,5716.301583333334
2017-11-12,6550.227533333334
2017-11-13,6635.412633333333
2017-11-14,7301.42992
2017-11-15,7815.0307
2017-11-16,7786.884366666666
2017-11-17,7817.1403833333325
2017-11-18,8007.654066666667
2017-11-19,8255.596816666666
2017-11-20,8059.8
2017-11-21,8268.035
2017-11-22,8148.95
2017-11-23,8250.978333333334
2017-11-24,8707.407266666667
2017-11-25,9284.1438
2017-11-26,9718.29505
2017-11-27,9952.50882
2017-11-28,9879.328333333333
2017-11-29,10147.372
2017-11-30,10883.912
2017-12-01,11071.368333333332
2017-12-02,11332.622
2017-12-03,11584.83
2017-12-04,11878.433333333334
2017-12-05,13540.980000000001
2017-12-06,16501.971666666668
2017-12-07,16007.436666666666
2017-12-08,15142.834152123332
2017-12-09,14869.805
2017-12-10,16762.116666666665
2017-12-11,17276.393333333333
2017-12-12,16808.366666666665
2017-12-13,16678.892
2017-12-14,17771.899999999998
2017-12-15,19498.683333333334
2017-12-16,19289.785
2017-12-17,18961.856666666667
2017-12-18,17737.111666666668
2017-12-19,16026.271666666667
2017-12-20,16047.51
2017-12-21,15190.945
2017-12-22,15360.261666666667
2017-12-23,13949.175000000001
2017-12-24,14119.028333333334
2017-12-25,15999.048333333332
2017-12-26,15589.321666666665
2017-12-27,14380.581666666667
2017-12-28,14640.14
2017-12-29,13215.573999999999
2017-12-30,14165.574999999999
2017-12-31,13812.186666666666
2018-01-01,15005.856666666667
2018-01-02,15053.261666666665
2018-01-03,15199.355000000001
2018-01-04,17174.12
2018-01-05,17319.198
2018-01-06,16651.471666666668
2018-01-07,15265.906666666668
2018-01-08,14714.253333333334
2018-01-09,15126.398333333333
2018-01-10,13296.794
2018-01-11,13912.882000000001
2018-01-12,14499.773333333333
2018-01-13,13852.92
2018-01-14,14012.196
2018-01-15,11180.998333333331
2018-01-16,11116.946666666669
2018-01-17,11345.423333333332
2018-01-18,11422.44
2018-01-19,12950.793333333333
2018-01-20,11505.228
2018-01-21,10544.593333333332
2018-01-22,11223.064
2018-01-23,11282.258333333333
2018-01-24,11214.44
2018-01-25,10969.815
2018-01-26,11524.776666666667
2018-01-27,11765.71
2018-01-28,11212.654999999999
2018-01-29,10184.061666666666
2018-01-30,10125.013333333334
2018-01-31,9083.258333333333
2018-02-01,8901.901666666667
2018-02-02,9076.678333333333
2018-02-03,8400.648333333333
2018-02-04,6838.816666666667
2018-02-05,7685.633333333334
2018-02-06,8099.958333333333
2018-02-07,8240.536666666667
2018-02-08,8535.516666666668
2018-02-09,8319.876566184
2018-02-10,8343.455
2018-02-11,8811.343333333332
2018-02-12,8597.7675
2018-02-13,9334.633333333333
2018-02-14,9977.154
2018-02-15,10127.161666666667
2018-02-16,10841.991666666667
2018-02-17,10503.298333333334
2018-02-18,11110.964999999998
2018-02-19,11390.391666666668
2018-02-20,10532.791666666666
2018-02-21,9931.071666666667
2018-02-22,10162.116666666667
2018-02-23,9697.956
2018-02-24,9696.593333333332
2018-02-25,10348.603333333334
2018-02-26,10763.883333333333
2018-02-27,10370.164999999999
2018-02-28,11009.381666666668
2018-03-01,11055.815
2018-03-02,11326.948333333334
2018-03-03,11430.181666666665
2018-03-04,11595.54
2018-03-05,10763.198333333334
2018-03-06,10118.058
2018-03-07,9429.111666666666
2018-03-08,9089.278333333334
2018-03-09,8746.002
2018-03-10,9761.396666666666
2018-03-11,9182.843333333332
2018-03-12,9154.699999999999
2018-03-13,8151.531666666667
2018-03-14,8358.121666666666
2018-03-15,8530.402
2018-03-16,7993.674643641666
2018-03-17,8171.415
2018-03-18,8412.033333333333
2018-03-19,8986.948333333334
2018-03-20,8947.753333333334
2018-03-21,8690.408333333333
2018-03-22,8686.826666666666
2018-03-23,8662.378333333334
2018-03-24,8617.296666666667
2018-03-25,8197.548333333334
2018-03-26,7876.195
2018-03-27,7960.38
2018-03-28,7172.28
2018-03-29,6882.531666666667
2018-03-30,6935.48
2018-03-31,6794.105
2018-04-01,7035.848333333332
2018-04-02,7410.435
2018-04-03,6787.761666666666
2018-04-04,6826.509999999999
2018-04-05,6603.876666666667
2018-04-06,6927.688
2018-04-07,7017.656666666667
2018-04-08,6699.2733333333335
2018-04-09,6787.571666666667
2018-04-10,6926.266666666666
2018-04-11,7847.845
2018-04-12,7895.408333333333
2018-04-13,8036.511051408333
2018-04-14,8340.748333333333
2018-04-15,8043.803333333333
2018-04-16,7895.416925956
2018-04-17,8164.937425765001
2018-04-18,8254.625
2018-04-19,8852.718333333332
2018-04-20,8807.205
2018-04-21,8838.548333333334
2018-04-22,8933.861666666666
2018-04-23,9555.542
2018-04-24,8995.506666666666
2018-04-25,9258.398333333333
2018-04-26,9010.32
2018-04-27,9326.173333333334
2018-04-28,9334.281666666668
2018-04-29,9259.57
2018-04-30,9075.136666666667
2018-05-01,9221.426
2018-05-02,9639.268333333333
2018-05-03,9710.730000000001
2018-05-04,9803.306666666665
2018-05-05,9630.136276683334
2018-05-06,9345.689999999999
2018-05-07,9228.608333333334
2018-05-08,9322.041666666666
2018-05-09,9101.483333333334
2018-05-10,8468.788
2018-05-11,8484.346666666666
2018-05-12,8727.651666666667
2018-05-13,8652.038333333332
2018-05-14,8511.458
2018-05-15,8340.703333333333
2018-05-16,8106.118333333333
2018-05-17,8240.055
2018-05-18,8223.288333333334
2018-05-19,8507.406666666668
2018-05-20,8385.556186928334
2018-05-21,8015.580000000001
2018-05-22,7555.740000000001
2018-05-23,7566.193333333334
2018-05-24,7445.238333333334
2018-05-25,7342.908333333333
2018-05-26,7361.831666666666
2018-05-27,7130.541666666667
2018-05-28,7459.876666666667
2018-05-29,7385.395
2018-05-30,7491.433999999999
2018-05-31,7535.1466666666665
2018-06-01,7645.1466666666665
2018-06-02,7699.886
2018-06-03,7500.2733333333335
2018-06-04,7615.722142096667
2018-06-05,7655.613333333334
2018-06-06,7676.2716666666665
2018-06-07,7620.153333333333
2018-06-08,7564.408333333333
2018-06-09,6776.888333333333
2018-06-10,6875.678333333333
2018-06-11,6535.081666666666
2018-06-12,6315.7
2018-06-13,6647.013333333333
2018-06-14,6434.088000000001
2018-06-15,6509.426666666666
2018-06-16,6464.411666666667
2018-06-17,6713.488
2018-06-18,6737.0
2018-06-19,6714.718333333333
2018-06-20,6733.901666666668
2018-06-21,6332.573333333334
2018-06-22,6141.605833333334
2018-06-23,6037.008333333334
2018-06-24,6211.447499999999
