Date,volume
2016-11-12,19900672.856211733
2016-11-13,20324888.3717734
2016-11-14,22288622.30351003
2016-11-15,44865031.15067332
2016-11-16,36131321.21770813
2016-11-17,22349404.1599065
2016-11-18,15115192.245199867
2016-11-19,26489236.672689494
2016-11-20,18741837.41861697
2016-11-21,25591017.709747355
2016-11-22,19866229.8841036
2016-11-23,16755125.577681024
2016-11-24,14432748.706685813
2016-11-25,12319132.964775683
2016-11-26,11359826.806550382
2016-11-27,17786517.7480325
2016-11-28,18774731.952676114
2016-11-29,21330877.48382009
2016-11-30,26804422.492278427
2016-12-01,33314155.044447843
2016-12-02,15079718.405659718
2016-12-03,11710058.47249938
2016-12-04,26745481.446420282
2016-12-05,20977699.216424413
2016-12-06,23775580.353968643
2016-12-07,18396293.927808
2016-12-08,16139725.074413015
2016-12-09,11258173.04152307
2016-12-10,10790493.55460276
2016-12-11,19721035.416289408
2016-12-12,20077997.9098794
2016-12-13,14993051.05091285
2016-12-14,15357872.532293279
2016-12-15,17973313.885113414
2016-12-16,17068492.255287778
2016-12-17,10243644.93459555
2016-12-18,15301931.73893629
2016-12-19,19671152.5655045
2016-12-20,44854043.026322275
2016-12-21,54177733.57533249
2016-12-22,71128607.5418054
2016-12-23,36632649.452525035
2016-12-24,31411463.344155725
2016-12-25,30528384.492602374
2016-12-26,36349743.369637854
2016-12-27,58947752.62192145
2016-12-28,49469080.76090559
2016-12-29,55218054.01763414
2016-12-30,20372836.66994757
2016-12-31,33991911.05897632
2017-01-01,57597031.98137848
2017-01-02,41550985.515730955
2017-01-03,143134274.56983486
2017-01-04,208498259.7930426
2017-01-05,134165115.23789297
2017-01-06,97175659.27985388
2017-01-07,55303632.48432932
2017-01-08,41076985.165461
2017-01-09,31485218.71429535
2017-01-10,131253668.4078732
2017-01-11,76636270.25602649
2017-01-12,55509952.11563386
2017-01-13,27475928.306425694
2017-01-14,15757955.971683078
2017-01-15,22109924.90628197
2017-01-16,66791560.406611934
2017-01-17,51289482.24876107
2017-01-18,43734448.33771
2017-01-19,27016866.76275787
2017-01-20,31572727.70973658
2017-01-21,41096750.85565452
2017-01-22,24607895.53005694
2017-01-23,43906538.86741937
2017-01-24,29651242.14920385
2017-01-25,26226846.707464296
2017-01-26,24900535.156715058
2017-01-27,12103240.458089076
2017-01-28,8485259.812167948
2017-01-29,14680425.28053736
2017-01-30,50109300.357485116
2017-01-31,35717457.43385989
2017-02-01,49171054.91265412
2017-02-02,54515239.48692956
2017-02-03,43595760.47694484
2017-02-04,32909742.49056232
2017-02-05,27544311.114128727
